"PositionTitle","Name","Organization"
"Director Corporate Partners","Mark Palmer","bluejays"
"Senior Manager Luxury Suites","Jeremy Zulauf","bluejays"
"Manager Client Service","Honsing Leung","bluejays"
"Manager Client Service","Jessica Marchello","bluejays"
"Manager Client Service","Jaclyn Leebosh","bluejays"
"Manager Client Service","Shauna Powell","bluejays"
"Manager Business Planning","Michael Lunder","bluejays"
"Account Executive Luxury Suites","Allan McNinch","bluejays"
"Coordinator Luxury Suites","Marissa Firestone","bluejays"
"Coordinator Client Service Premium Hospitality","Evan Gwartz","bluejays"
"Coordinator Client Service","John Altorio","bluejays"
"Coordinator Client Service","Matt Dexter","bluejays"
"Coordinator Client Service","Tom Robertson","bluejays"
"Coordinator Business Development","Ryan Knapp","bluejays"
"Vice President Technology","Anthony Miranda","bluejays"
"Director Technical Production and Broadcast Services","Mike Christiansen","bluejays"
"Technical Lead Deskside IT","Donny Catinari","bluejays"
"Technical Lead IT Support","Yvan Duval","bluejays"
"Technical Lead Blue Jays IT Support","Richard Solis","bluejays"
NA,"Ashley Morris:  Technical Support Analyst","bluejays"
"Technical Support Analyst","Victor Tran","bluejays"
"Data Architect","David Sardella","bluejays"
"Systems Administrator","Marshall McDougall","bluejays"
"Owner and Chairman","<span class=token token-hyperLink id=token-0EE098F1512E523A7D7BB><a href=http://mlb.mlb.com/hou/team/exec_bios/jim_crane.html target=_blank>Jim Crane</a>","astros"
"President Business Operations","<span class=token token-hyperLink id=token-F9A919656FF3FFD3119B4><a href=http://mlb.mlb.com/hou/team/exec_bios/ryan_reid.html target=_blank>Reid Ryan</a>","astros"
"Executive Advisor","<span class=token token-hyperLink id=token-D234603A8CA6B42F78E88><a href=http://mlb.mlb.com/hou/team/exec_bios/ryan_nolan.html target=_blank>Nolan Ryan</a>","astros"
"Senior Vice President Business Operations","<span class=token token-hyperLink id=token-83D298A29D04AB363ACB2><a href=http://mlb.mlb.com/hou/team/exec_bios/braithwaite_marcel.html target=_blank>Marcel Braithwaite</a>","astros"
"Senior Vice President Community Relations + Executive Director Astros Foundation","<span class=token token-hyperLink id=token-FB5BE118EDB04916B3395><a href=http://mlb.mlb.com/hou/team/exec_bios/carter_twila.html target=_blank>Twila Carter</a>","astros"
"Senior Vice President Corporate Partnerships","<span class=token token-hyperLink id=token-9DF17310D6F63A0E577B9><a href=http://mlb.mlb.com/hou/team/exec_bios/brand_matt.html target=_blank>Matt Brand</a>","astros"
"Senior Vice President Marketing and Communications","<span class=token token-hyperLink id=token-91F01BF048AD7ABF67ABA><a href=http://mlb.mlb.com/hou/team/exec_bios/sehgal_anita.html target=_blank>Anita Sehgal</a>","astros"
"Senior Vice President Ticket Sales and Strategy","<span class=token token-hyperLink id=token-DF525EDAEF8AD5EA3D0B8><a href=http://mlb.mlb.com/hou/team/exec_bios/howard_jason.html target=_blank>Jason Howard</a>","astros"
"Senior Vice President and General Counsel","<span class=token token-hyperLink id=token-CFDF4E3B6CFF4E433CC8E><a href=http://mlb.mlb.com/hou/team/exec_bios/kibbe_giles.html target=_blank>Giles Kibbe</a>","astros"
"Vice President Event Sales and Operations","<span class=token token-hyperLink id=token-701065399A753D248A9AE><a href=http://mlb.mlb.com/hou/team/exec_bios/stegall_stephanie.html target=_blank>Stephanie Stegall</a>","astros"
"Vice President Finance","<span class=token token-hyperLink id=token-6BB90D8732C43A834FCBC><a href=http://mlb.mlb.com/hou/team/exec_bios/seckel_doug.html target=_blank>Doug Seckel</a>","astros"
"Vice President Foundation Development","<span class=token token-hyperLink id=token-00C1D6C0A0D15383FF292><a href=http://mlb.mlb.com/hou/team/exec_bios/harper_marian.html target=_blank>Marian Harper</a>","astros"
"Vice President Human Resources","<span class=token token-hyperLink id=token-961D2CB97E3673981B5A3><a href=http://mlb.mlb.com/hou/team/exec_bios/mora-vivian.html target=_blank>Vivian Mora</a>","astros"
"Vice President Information Technology","Chris Hanz","astros"
"Vice President Marketing","<span class=token token-hyperLink id=token-1EA905FDA900BC0562D93><a href=http://mlb.mlb.com/hou/team/exec_bios/wooden_jason.html target=_blank>Jason Wooden</a>","astros"
"Vice President Media Relations","<span class=token token-hyperLink id=token-ABAE482D183028AC9838B><a href=http://mlb.mlb.com/hou/team/exec_bios/dias_gene.html target=_blank>Gene Dias</a>","astros"
"Vice President Stadium Operations","<span class=token token-hyperLink id=token-8B4B3B6A55578D5684191><a href=http://mlb.mlb.com/hou/team/exec_bios/forrest_bobby.html target=_blank>Bobby Forrest</a>","astros"
"Vice President Strategy","<span class=token token-hyperLink id=token-0975BF04D5892A4C7CAA9><a href=http://mlb.mlb.com/hou/team/exec_bios/dillon_michael.html target=_blank>Mike Dillon</a>","astros"
"Vice President Tax","Vito Ciminello","astros"
"Chief Financial Officer","<span class=token token-hyperLink id=token-933975614B0209451B295><a href=http://mlb.mlb.com/hou/team/exec_bios/slaughter_michael.html target=_blank>Michael Slaughter</a>","astros"
"Senior Counsel","Leslie Oguchi","astros"
"Executive Assistant","Eileen Colgin","astros"
"Executive Assistant","Brenda Schiro","astros"
"Administrative Assistant","Brittany Redeaux","astros"
"Paralegal","Jessi Merlo","astros"
"President of Baseball Operations and General Manager","<span class=token token-hyperLink id=token-47AFEF45FBAD602B28F96><a href=http://mlb.mlb.com/hou/team/exec_bios/luhnow_jeff.html target=_blank>Jeff Luhnow</a>","astros"
"Assistant General Manager","<span class=token token-hyperLink id=token-C6E1C3CE25F051B780589><a href=http://mlb.mlb.com/hou/team/exec_bios/taubman_brandon.html target=_blank>Brandon Taubman</a>","astros"
"Special Assistant to the General Manager","<span class=token token-hyperLink id=token-C9FD53BEE9B1F7E277DA3><a href=http://mlb.mlb.com/hou/team/exec_bios/biggio_craig.html target=_blank>Craig Biggio</a>","astros"
"Special Assistant to the General Manager","<span class=token token-hyperLink id=token-EE03E9EC018BDF6006380><a href=http://mlb.mlb.com/hou/team/exec_bios/cabell_enos.html target=_blank>Enos Cabell</a>","astros"
"Special Assistant to the General Manager","<span class=token token-hyperLink id=token-1B76985564D64713DA5AB><a href=http://mlb.mlb.com/hou/team/exec_bios/clemens_roger.html target=_blank>Roger Clemens</a>","astros"
"Special Assistant to the General Manager Player Personnel","<span class=token token-hyperLink id=token-5D1B5A6933A83154C689D><a href=http://mlb.mlb.com/hou/team/exec_bios/goldstein_kevin.html target=_blank>Kevin Goldstein</a>","astros"
"Special Assistant to the General Manager People Operations and Major League Interpreter","<span class=token token-hyperLink id=token-AD9520E9F69C4C1DEAA9C><a href=http://mlb.mlb.com/hou/team/exec_bios/ocampo_oz.html target=_blank>Oz Ocampo</a>","astros"
"Director Latin American Operations","<span class=token token-hyperLink id=token-43D2933CED32DCED461A7><a href=http://mlb.mlb.com/hou/team/exec_bios/cabrera_caridad.html target=_blank>Caridad Cabrera</a>","astros"
"Director Florida Operations and Minor League Travel","<span class=token token-hyperLink id=token-A50A889D96959D87093A1><a href=http://mlb.mlb.com/hou/team/exec_bios/edmiston_jay.html target=_blank>Jay Edmiston</a>","astros"
"Director Advance Information","<span class=token token-hyperLink id=token-1BE856A87E3B1C7EF1385><a href=http://mlb.mlb.com/hou/team/exec_bios/koch-weser_tom.html target=_blank>Tom Koch-Weser</a>","astros"
"Director Sports Medicine and Performance","<span class=token token-hyperLink id=token-E3016923F09BE2BCB0AA7><a href=http://mlb.mlb.com/hou/team/exec_bios/firkus_bill.html target=_blank>Bill Firkus</a>","astros"
"Director Player Development","<span class=token token-hyperLink id=token-1DBAEA6735CC6002CC9B7><a href=http://mlb.mlb.com/hou/team/exec_bios/putila_pete.html target=_blank>Pete Putila</a>","astros"
"Director Minor League Operations","Armando Velasco","astros"
"Director RandD","Ehsan Bokhari","astros"
"Senior Manager Team Operations","Derek Vigoa","astros"
"Manager Amateur Scouting Analysis","Charles Cook","astros"
"Manager Baseball Operations","Brendan Fournie","astros"
"Manager Baseball Operations","Alexandra Noboa","astros"
"Manager Pro Scouting Analysis","Matt Hogan","astros"
"Manager International Scouting","Eve Rosenbaum","astros"
"Manager Player Education","Doris Gonzalez","astros"
"Program Manager RandD","Sarah Gelles","astros"
"Manager of Research RandD","Catherine Cage","astros"
"Coordinator Dominican Republic Academy Operations","Jessica Ben","astros"
"Coordinator Minor League Technology","Sam Visser","astros"
"Coordinator Major League Advance Information","Tommy Kawamura","astros"
"Coordinator Major League Video and Advance Information","Antonio Padilla","astros"
"Assistant Player Acquisition","Brian Rodgers","astros"
"Analyst Amateur Scouting","Aaron DelGiudice","astros"
"Analyst Pro Scouting","Will Sharp","astros"
"Senior Scouting Advisor","Charlie Gonzalez","astros"
"Senior Architect RandD","Colin Wyers","astros"
"Senior Analyst RandD","Ryan Ferguson","astros"
"Senior Developer","Danny Friedheim","astros"
"Analyst Research and Development","Adam Brodie","astros"
"Analyst Research and Development","Kristen Mori","astros"
"Front-End Developer","Jaken Herman","astros"
"Software Developer","Chandler Evans","astros"
"Senior Advisor Latin American Development","Julio Linares","astros"
"Administrative Assistant Latin American Operations","Elizabeth Nunez","astros"
"Baseball Operations Fellow","Daniel Dasgupta","astros"
"Chairman of the Board and Chief Executive Officer"," Fred Wilpon","mets"
"President"," Saul B. Katz","mets"
"Chief Operating Officer"," Jeff Wilpon","mets"
"Executive Vice President and Chief Legal Officer"," David P. Cohen","mets"
"Executive Vice President and Chief Revenue Officer"," Lou DePaoli","mets"
"Chief Financial Officer"," Mark Peskin","mets"
"Executive Vice President and General Manager"," Brodie Van Wagenen","mets"
"Senior Vice President Venue Services and Operations"," Mike Landeen","mets"
"Senior Vice President Senior Strategy Officer","  John Ricco","mets"
"Senior Vice President Human Resources and Diversity"," Holly Lindvall","mets"
"Senior Vice President Corporate Partnerships and Ticket Sales"," Chris Zaber","mets"
"Vice President Assistant General Manager Scouting and Player Development"," Allard Baird","mets"
"Vice President Guest Experience and Venue Services"," Chris Brown","mets"
"Vice President Metropolitan Hospitality"," Heather Collamore","mets"
"Vice President Technology"," Tom Festa","mets"
"Vice President Alumni Public Relations and Team Historian"," Jay Horwitz","mets"
"Vice President General Counsel"," Neal Kaplan","mets"
"Vice President Controller"," Len Labita","mets"
"Vice President Ballpark Operations"," Sue Lucchi","mets"
"Vice President External Affairs and Community Engagement"," Haeda Mihaltes","mets"
"Vice President International and Amateur Scouting"," Tommy Tanous","mets"
"Vice President Financial Planning and Analysis"," Peter Woll","mets"
"Vice President Communications"," Harold Kaufman","mets"
"Vice President International and Amateur Scouting"," Tom Tanous","mets"
" Senior Director Professional Scouting"," Jim D'Aloia","mets"
" Director Amateur Scouting"," Marc Tramuta","mets"
" Assistant Director Professional Scouting"," Bryn Alderson","mets"
" Coordinator Amateur Scouting"," Bryan Hayes","mets"
" Global Crosschecker"," Steve Barningham","mets"
" National Crosschecker"," Doug Thurman","mets"
" National Crosschecker"," Mike Ledna","mets"
" Pitching Supervisor National"," John Hendricks","mets"
" Regional Supervisor Northeast"," Marlin McPhail","mets"
" Regional Supervisor Midwest"," Mac Seibert","mets"
" Regional Supervisor West"," Drew Toussaint","mets"
" Area Scout"," Cesar Aranguren","mets"
" Area Scout"," Nathan Beuster","mets"
" Area Scout"," Gary Brown","mets"
" Area Scout"," Jet Butler","mets"
" Area Scout"," Daniel Coles","mets"
" Area Scout"," Jarrett England","mets"
" Area Scout"," Chris Heidt","mets"
" Area Scout"," Chris Hervey","mets"
" Area Scout"," Tyler Holmes","mets"
" Area Scout"," Tommy Jackson","mets"
" Area Scout"," John Kosciak","mets"
" Area Scout"," Fred Mazuca","mets"
" Area Scout"," Jason McLaughlin","mets"
" Area Scout"," Claude Pelletier","mets"
" Area Scout"," Jim Reeves","mets"
" Area Scout"," Brian Reid","mets"
" Area Scout"," Harry Shelton","mets"
" Area Scout"," Jim Thompson","mets"
" Area Scout"," Jon Updike","mets"
" Area Scout"," Glenn Walker","mets"
" Professional Scout"," Conor Brooks","mets"
" Professional Scout"," Tom Clark","mets"
" Professional Scout"," Tim Fortugno","mets"
" Professional Scout"," David Keller","mets"
" Professional Scout"," Joseph Kowal","mets"
" Professional Scout"," Ash Lawson","mets"
" Professional Scout"," Shaun McNamara","mets"
" Professional Scout"," Roy Smith","mets"
" Professional Scout"," Rudy Terrasas","mets"
" Professional Scout"," Andy Pratt","mets"
" Coordinator Latin American Scouting"," Gerardo Cabrera","mets"
" Coordinator Latin American Scouting"," Hector Rincones","mets"
" Coordinator Latin American Scouting"," Harold Herrera","mets"
" Scout Dominican Republic"," Marciano Alvarez","mets"
" Scout Venezuela"," Robert Espejo","mets"
" Scout Venezuela"," Nestor Moreno","mets"
" Scout Venezuela"," Carlos Perez","mets"
" Supervisor Venezuela"," Ismael Perez","mets"
"Dominican Academy Performance Coach"," Erik Beiser","mets"
"Tryout Coach Dominican Republic"," Alejandro Baustista","mets"
"Tryout Coach Dominican Republic"," Carlos Capellan","mets"
"Tryout Coach Dominican Republic"," Samuel Taveras","mets"
"Scout Asia"," Bon Kim","mets"
"Scout International"," Fernando Encarnacion","mets"
"Executive Director Business Intelligence and Analytics"," John Morris","mets"
"Director Consumer Strategy and Insight"," James Benesh","mets"
"Database Architect"," Douglas Joe","mets"
"Business Intelligence Analyst"," Jon Cokorinos","mets"
"Application Developer"," Raymond Borriello","mets"
"Analyst"," Jay Habib","mets"
"Vice President Metropolitan Hospitality"," Heather Collamore","mets"
" Director Event Sales"," Lisa Barbara","mets"
" Director Events"," Amanda Cieri","mets"
" Assistant to VP and Office Manager"," Cathy Montalto","mets"
" Senior Manager Events"," Jennifer Ice","mets"
" Manager Events"," Matt Cowan","mets"
" Manager Event Financial Operations"," Ryan Keller","mets"
" Coordinator Event Sales"," Manny Ortiz","mets"
" Coordinator Events"," Caitlyn Maio","mets"
" Coordinator Events"," Danielle DeLuna","mets"
" Account Executive Event Sales"," Jamie Logan","mets"
" Assistant Events"," Kara Torzullo","mets"
" Assistant Events"," Tori Tedeschi","mets"
" Sales Development Representative"," Sam Nord-Stephens","mets"
"General Manager and President of Baseball Operations ","Mike Rizzo","nationals"
"Assistant General Manager and Vice President Player Personnel ","Doug Harris","nationals"
"Assistant General Manager and Vice President Scouting Operations ","Kris Kline","nationals"
"Vice President and Assistant General Manager Finance ","Ted Towne","nationals"
"Vice President Clubhouse Operations and Team Travel ","Rob McDonald","nationals"
"Senior Advisor to the General Manager ","Phillip Rizzo","nationals"
" Senior Advisor to the General Manager ","Jack McKeon","nationals"
"Special Assistant Major League Administration ","Harolyn Cardozo","nationals"
" Assistant Major League Administration ","Jordan Missal","nationals"
"Assistant General Manager  Baseball Operations ","Michael DeBartolo","nationals"
"Analyst Baseball Operations ","James Badas","nationals"
" Advance Scout ","Jim Cuthbert","nationals"
"Manager Advance Scouting ","Jonathan Tosches","nationals"
"Coordinator Advance Scouting ","Greg Ferguson","nationals"
"Clubhouse and Equipment Manager ","Mike Wallace","nationals"
"Clubhouse Manager - Visiting Clubhouse ","Matt Rosenthal","nationals"
"Equipment Manager ","Dan Wallin","nationals"
"Coordinator Baseball Operations ","John Wulf","nationals"
"Baseball Operations Video Coordinator ","James Goodwin","nationals"
"Clubhouse Assistant ","Mike Gordon","nationals"
"Clubhouse Assistant ","Andrew Melnick","nationals"
"Clubhouse Assistant ","Gregory Melnick","nationals"
"Assistant Clubhouse and Team Travel ","Ryan Wiebe","nationals"
"Assistant General Manager Baseball Research and Development ","Samuel Mondry-Cohen","nationals"
"Senior Analyst Baseball Research and Development ","Lee Mendelowitz","nationals"
"Analyst Baseball Research and Development ","Max Ehrman","nationals"
"Analyst Baseball Research and Development ","David Higgins","nationals"
"Analyst Baseball Research and Development ","Scott Van Lenten","nationals"
"Developer Baseball Research and Development ","Isaac Gerhart-Hines","nationals"
"Developer Baseball Research and Development ","Jay Liu","nationals"
" Developer Baseball Research and Development ","Ted López","nationals"
"Vice President International Operations ","Johnny DiPuglia","nationals"
"Director Player Procurement ","Kasey McKeon","nationals"
"Director Scouting Operations ","Eddie Longosz","nationals"
"Special Assistant to the General Manager ","Steve Arnieri","nationals"
"Special Assistant to the General Manager ","Chuck Cottier","nationals"
"Special Assistant to the General Manager ","Mike Cubbage","nationals"
"Special Assistant to the General Manager ","Michael Daughtry","nationals"
"Special Assistant to the General Manager ","Dan Jennings","nationals"
"Special Assistant to the General Manager ","Ron Rizzi","nationals"
"Special Assistant to the General Manager ","Jay Robertson","nationals"
"Special Assistant to the General Manager ","Bob Schaefer","nationals"
"Special Assistant to the General Manager ","Peter Vuckovich","nationals"
"Special Assistant to the General Manager ","De Jon Watson","nationals"
"Special Assistant to the General Manager ","Terry Wetzel","nationals"
"Assistant Director of Amateur Scouting ","Mark Baca","nationals"
"National Crosschecker East Special Assistant to the General Manager ","Jeff Zona","nationals"
"National Crosschecker West ","Fred Costello","nationals"
"National Crosschecker Central ","Jimmy Gonzales","nationals"
"Assistant International Scouting ","Taisuke Sato","nationals"
"Independent League Coordinator/Area Supervisor ","Eric Robinson","nationals"
"Vice President Senior Advisor to the General Manage r","Bob Boone","nationals"
"Director Player Development"," Mark Scialabba","nationals"
"Director Minor League Operations ","Ryan Thomas","nationals"
"Senior Advisor Player Development ","Spin Williams","nationals"
"Roving Coordinator ","Billy Gardner","nationals"
"Field Coordinator ","Tommy Shields","nationals"
"Field Coordinator ","Jeff Garber","nationals"
"Hitting Coordinator ","Troy Gingrich","nationals"
"Pitching Coordinator ","Paul Menhart","nationals"
"Outfield/Baserunning Coordinator ","Gary Thurman","nationals"
"Catching Coordinator ","Michael Barrett","nationals"
"Rehab Pitching Coordinator ","Mark Grate","nationals"
"Medical and Rehab Coordinator ","Jonathan Kotredes","nationals"
"Strength and Conditioning Coordinator ","Tony Rogowski","nationals"
"Minor League Clubhouse and Equipment Coordinator ","Calvin Minasian","nationals"
"Assistant Clubhouse ","Carlos Felix","nationals"
"Assistant Clubhouse ","Scott Paquin","nationals"
"Manager Minor League Operations ","JJ Estevez","nationals"
"Manager Florida Operations ","Dianne Wiebe","nationals"
"Director Academy Operations ","Alex Rodriguez","nationals"
"Vice President Ticket Sales and Service ","Ryan Bringger","nationals"
"Senior Director Ticket Sales ","Joseph Dellwo","nationals"
"Manager Business Development ","Kevin Nawrocki","nationals"
"Senior Account Executive Membership Sales ","Bryan Miller","nationals"
"Senior Account Executive Membership Sales ","Adam Dantus","nationals"
"Account Executive Membership Sales ","Riley Angeli","nationals"
"Account Executive Membership Sales : Caleb Bohan",NA,"nationals"
"Account Executive Membership Sales ","Richard Lemieux","nationals"
"Account Executive Membership Sales ","Rachel McCarriher","nationals"
"Account Executive Membership Sales ","William Vizcarra","nationals"
"Deputy Director Programs ","Jennifer Cartland","nationals"
"Senior Director Development ","Preston Shytle","nationals"
"Senior Director Strategic Marketing ","Kate Greenberg","nationals"
"Director Softball and Baseball Programs ","Nick Sussman","nationals"
"Senior Manager Education Programs ","Zachary Jamison","nationals"
"Program Associate ","Rose Broberg","nationals"
"Manager Baseball and Softball Programs ","Charles Sperduto ","nationals"
"Manager Academic Partnerships and Program Coordination ","DeVante Caldwell","nationals"
"Manager Health and Nutrition Programs"," Maya Walker","nationals"
" Manager Facilities"," Corey Johnson","nationals"
"Manager Operations Youth Baseball Academy ","Kyle Hudson","nationals"
"Development Coordinator ","Moira Kennedy","nationals"
"Lead Classroom Coordinator ","Kerrick Craig","nationals"
"Lead Baseball/Softball Coordinator ","Gabriela Elvina","nationals"
"Lead Baseball/Softball Coordinator ","Peter Harbolick","nationals"
"Lead Baseball/Softball Coordinator ","Chris Henderson","nationals"
"Security Coordinator ","Michael Hatcher","nationals"
"Officer Special Police ","DeCarlos Bennett","nationals"
"Chairman and Principal Owner:  Bruce Sherman","marlins","marlins"
" ","marlins","marlins"
" Chief Executive Officer:  Derek Jeter","marlins","marlins"
" ","marlins","marlins"
" President of Baseball Operations:  Michael Hill","marlins","marlins"
"<p class=MsoPlainText>Executive Assistant Baseball Operations:  Amanda Guevara","marlins","marlins"
" ","marlins","marlins"
" Coordinator Chief of Staff:  Karen De Leon","marlins","marlins"
"Director Amateur Scouting:  DJ Svihlik ","marlins","marlins"
"Data Architect:  Dawson Friedland","marlins","marlins"
"Vice President Player Development and Scouting:  Gary Denbo","marlins","marlins"
"Special Assistant to the President of Baseball Operations:  Stan Meek","marlins","marlins"
"Director Player Development:  Dick Scott ","marlins","marlins"
"Manager Player Development and Scouting:  Geoffrey DeGroot","marlins","marlins"
"Special Assistant Baseball Ops and Scouting:  Adrian Lorenzo","marlins","marlins"
"Assistant Director Player Development:  Hector Crespo","marlins","marlins"
"Coordinator Player Development and International Operations:  Jacob Jola","marlins","marlins"
"Analyst Player Development:  Ryan Powers","marlins","marlins"
"Professional Scouting Analyst:  Alexandria Rigoli","marlins","marlins"
"Amateur Scouting Analyst:  Joshua Kapiloff","marlins","marlins"
"Vice President Head of Partnership Development and Strategy:  David Oxfeld","marlins","marlins"
"Director Partnership Development:  Ian Parker","marlins","marlins"
"Manager Partnership Development:  Stephen Corsaro","marlins","marlins"
"Executive Assistant to the VP Head of Partnership Development and Strategy:  Judy Cavanagh","marlins","marlins"
"Specialist Partnership Development:  Max Budney","marlins","marlins"
"Data Systems Senior Analyst:  James Niescier","marlins","marlins"
"Manager Database and Applications:  David Kuan","marlins","marlins"
"President - Business Operations  <span class=token token-hyperLink id=token-6328B5242A7BA81897C82><a","href=/team/front-office/rick-schlesinger/>Rick Schlesinger</a>","brewers"
"President - Baseball Operations and General Manager  <span class=token token-hyperLink id=token-4E77DE427A625F0EB7AB3><a","href=/team/front-office/david-stearns/>David Stearns</a>","brewers"
"Senior Vice President and Assistant General Manager  <span class=token token-hyperLink id=token-BDC96C812D8C60876B2A0><a","href=/team/front-office/matthew-arnold/>Matt Arnold</a>","brewers"
"Senior Vice President - Communications and Affiliate Operations ","Tyler Barnes","brewers"
"Senior Vice President - Stadium Operations ","Steve Ethier","brewers"
"Chief Financial Officer ","Daniel Fumai","brewers"
"Chief Revenue Officer ","Jason Hartlund","brewers"
"Senior Vice President - Marketing and Fan Experience ","Teddy Werner","brewers"
"General Counsel and Senior Vice President - Administration ","Marti Wronski","brewers"
"Executive Assistant - Ownership Group ","Samantha Ernest","brewers"
"Executive Assistant to the General Manager ","Nichole Kinateder","brewers"
"Executive Assistant - Paralegal ","Kate Rock","brewers"
"Executive Assistant ","Adela Reeve","brewers"
"Executive Assistant ","Kate Stempski","brewers"
"Executive Assistant ","Sonya Martinez","brewers"
"Senior Advisor ","Doug Melvin","brewers"
"Senior Vice President - Player Personnel ","Karl Mueller","brewers"
"Vice President - Baseball Projects ","Gord Ash","brewers"
"Vice President and Special Assistant to the General Manager ","Ray Montgomery","brewers"
"Senior Advisor - Scouting ","Marv Thompson","brewers"
"Special Advisor - Baseball Operations/Player Development ","Carlos Villanueva","brewers"
"Special Assignment Scout ","Scott Campbell","brewers"
"Special Assistant to the General Manager/Pro Scouting/Player Personnel ","Dick Groch","brewers"
"Special Assistant - Baseball Strategy ","Shawn Hoffman","brewers"
"Farm Director ","Tom Flanagan","brewers"
"Assistant Farm Director ","Eduardo Brizuela","brewers"
"Director - Amateur Scouting ","Tod Johnson","brewers"
"Director - Baseball Operations ","Matt Kleine","brewers"
"Director - Baseball Systems ","Will Hudgins","brewers"
"Director - Baseball Research and Development ","Dan Turkenkopf","brewers"
"Director - International Scouting ","Mike Groopman","brewers"
"Special Assistant - Baseball Research and Development ","Nick Davis","brewers"
"Assistant Director - Amateur Scouting ","Tim McIlvaine","brewers"
"Manager - Advance Scouting ","Brian Powalish","brewers"
"Manager - Major League Strategy ","Walker McKinven","brewers"
"Manager - Video Operations ","Matt Kerls","brewers"
"Senior Analyst - Baseball Operations ","Andrew Fox","brewers"
"Senior Analyst - Baseball Research and Development ","Ethan Bein","brewers"
"Analyst - Baseball Research and Development ","Austin Harcarik","brewers"
"Analyst - Baseball Research and Development ","Dan Kutner","brewers"
"Analyst - Sports Science Baseball Research and Development ","Inga Milo","brewers"
"Data Engineer ","Phil Hauser","brewers"
"Data Engineer ","Josh Schaffer","brewers"
"Data Architect ","Matt Culhane","brewers"
"Developer - Baseball  Andy","Acosta Gomez","brewers"
"Developer - Baseball ","DJ Michalski","brewers"
"Developer - Baseball Systems ","Dan Yang","brewers"
"Assistant - Baseball Operations/Spanish Translator ","Carlos Brizuela","brewers"
"Assistant - Baseball Operations ","Eric Babitz","brewers"
"Assistant - Baseball Operations ","Ben Harris","brewers"
"Assistant - Baseball Operations ","Kevin Ottsen","brewers"
"Coordinator - Major League Video ","August Sandri","brewers"
"Coordinator - Minor League Video Operations ","Zack Sorensen","brewers"
"Coordinator - Player Personnel ","August Fagerstrom","brewers"
"Coordinator - Scouting ","Oscar Garcia","brewers"
"Coordinator - Scouting Operations ","Adam Hayes","brewers"
"Developmental Scout ","Gregory Goldstein","brewers"
"Supervisor - Pro Scouting ","Bryan Gale","brewers"
"Supervisor - Pro Scouting ","Taylor Green","brewers"
"Pro Scouting Crosschecker ","Mike Berger","brewers"
"Pro Scouting Crosschecker ","Ben McDonough","brewers"
"Pro Scouting Crosschecker ","Ryan Thompson","brewers"
"Pro Scouting Crosschecker ","Derek Watson","brewers"
"National Supervisor - Scouting ","Doug Reynolds","brewers"
"Supervisor - Scout Teams/West Coast Special Assignment Scout ","Corey Rodriguez","brewers"
"Regional Supervisor ","Josh Belovsky","brewers"
"Regional Supervisor ","Dan Nellum","brewers"
"Regional Supervisor - Scouting ","Drew Anderson","brewers"
"Regional Supervisor ","Brian Sankey","brewers"
"Regional Supervisor ","Mike Serbalik","brewers"
"Area Scout ","Ty Blankmeyer","brewers"
"Area Scout ","Mike Burns","brewers"
"Area Scout ","Pete Orr","brewers"
"Area Scout ","James Fisher","brewers"
"Area Scout ","Taylor Frederick","brewers"
"Area Scout ","Joe Graham","brewers"
"Area Scout ","KJ Hendricks","brewers"
"Area Scout ","Dan Huston","brewers"
"Area Scout  Harvey","Kuenn Jr.","brewers"
"Area Scout ","Lazaro Llanes","brewers"
"Area Scout ","Mark Muzzi","brewers"
"Area Scout ","Scott Nichols","brewers"
"Area Scout ","Wynn Pelzer","brewers"
"Area Scout ","Jeff Scholzen","brewers"
"Area Scout ","Jeff Simpson","brewers"
"Area Scout ","Craig Smajstrla","brewers"
"Area Scout ","Riley Bandelow","brewers"
"Area Scout ","Steve Smith","brewers"
"Area Scout ","Shawn Whalen","brewers"
"Latin America Crosschecker ","Luis Pérez","brewers"
"Regional Crosschecker ","Esteban Castillo","brewers"
"Scouting Coordinator - Dominican Republic ","Fernando Veracierto","brewers"
"Scouting Coordinator - Dominican Republic ","Gary Peralta","brewers"
"Supervisor - Scouting Central America ","Jairo Castillo","brewers"
"Scout - Latin America ","Jesus Morrieta","brewers"
"Scout - Latin America ","Rodolfo Rosario","brewers"
"Scout - Latin America  Trino","Aguilar Navarro","brewers"
"Scout - Colombia ","Jose Barraza","brewers"
"Scout - Colombia ","Teofilo Gutierrez","brewers"
"Scout - Dominican Republic  Julio De","La Cruz","brewers"
"Scout - Dominican Republic ","José Morales","brewers"
"Scout - Dominican Republic  Jean","Carlos Reynoso","brewers"
"Scout - Dominican Republic ","Jonas Lantigua","brewers"
"Scout - Nicaragua ","Salvador Ayestas","brewers"
"Scout - Venezuela ","Diego Flores","brewers"
"Scout - Venezuela ","Kenji Galavis","brewers"
"Scout - Venezuela ","Reinaldo Hidalgo","brewers"
"Scout - Venezuela ","Javier Meza","brewers"
"Scout - Venezuela ","José Rodriguez","brewers"
"Latin American Video Scout  Luis","Eduardo Rosario","brewers"
"Vice President - Partnership Sales and Management ","Tom Hecht","brewers"
"Vice President - Partnership Sales and Development ","Andrew Pauls","brewers"
"Vice President - Partnership Activation and Strategy ","Kevin Babusiak","brewers"
"Director - Partnership Sales ","Brennan Feldhausen","brewers"
"Director - Partnership Sales ","Joe Robinson","brewers"
