"PositionTitle","Name","Organization"
"Vice President - Player Development","Dave Littlefield","tigers"
"Senior Advisor","John Westhoff","tigers"
"Special Assistant to the General Manager","Al Kaline","tigers"
"Special Assistant to the General Manager","Willie Horton","tigers"
"Special Assistant to the General Manager","Kirk Gibson","tigers"
"Special Assistant to the General Manager","Jim Leyland","tigers"
"Special Assistant to the General Manager","Dick Egan","tigers"
"Special Assistant to the General Manager","Alan Trammell","tigers"
"Special Assistant to the General Manager","Mike Russell","tigers"
"Senior Director - Baseball Analytics and Operations","Jay Sartori","tigers"
"Director - Baseball Operations and Professional Scouting","Sam Menzin","tigers"
"Director - Latin American Player Development","Rafael Martinez","tigers"
"Director - Latin American Player Development","Manny Crespo","tigers"
"Director - Latin American Operations","Miguel Garcia","tigers"
"Director - International Operations","Tom Moore","tigers"
"Director - Minor League Operations","Dan Lunetta","tigers"
"Director - Dominican Republic Operations","Ramon Perez","tigers"
"Director - Player Development","Dave Owen","tigers"
"Associate Counsel - Baseball Operations","Alan Avila","tigers"
"Director - Baseball Analytics","Jim Logue","tigers"
"Senior Software Developer","Josh Kragness","tigers"
"Senior Database Architect","Mike Burger","tigers"
"Software Developer","Dan Gorman","tigers"
"Senior Analyst - Baseball Operations","Drew Jordan","tigers"
"Senior Analyst - Baseball Operations","Maggie O'Hara","tigers"
"Senior Analyst - Baseball Operations","Shane Piesik","tigers"
"Senior Analyst - Baseball Operations","Danny Vargovick","tigers"
"Analyst - Baseball Operations ","Beau Horan","tigers"
"Analyst - Baseball Operations ","Aidan Kearns","tigers"
"Analyst - Baseball Operations ","Zach Wolf","tigers"
"Director - Amateur Scouting","Scott Pleis","tigers"
"Assistant Director - Amateur and International Scouting","Eric Nieto","tigers"
"Amateur Scouting Video Coordinator","Sam Nasci ","tigers"
"International Operations Coordinator","Rafael Gonzalez","tigers"
"Major League Scout","Ray Crone","tigers"
"Major League Scout","Jim Elliott","tigers"
"Major League Scout","Kevin Ellis","tigers"
"Major League Scout","Joe Ferrone","tigers"
"Major League Scout","Randy Johnson","tigers"
"Major League Scout","P.J. Jones","tigers"
"Major League Scout","Paul Mirocke","tigers"
"Major League Scout","Yadalla Mufdi","tigers"
"Major League Scout","Jim Olander","tigers"
"Major League Scout","Gary Pellant","tigers"
"Major League Scout","Jimmy Rough","tigers"
"Major League Scout","John Stockstill","tigers"
"Major League Scout","Bruce Tanner","tigers"
"Major League Scout","Josh Wilson","tigers"
"Senior Advisor","Murray Cook","tigers"
"Senior Advisor","Scott Reid","tigers"
"Director - Team Travel","Brian Britten","tigers"
"Director - Minor League and Scouting Administration","Cheryl Evans","tigers"
"Player Development Coordinator ","David Allende","tigers"
"Player Development Coordinator ","Jim McKew","tigers"
"Minor League Clubhouse Manager","Patrick Saenz","tigers"
"Assistant Clubhouse Manager","Pete Mancuso","tigers"
"Coordinator International Player Programs","Sharon Lockwood","tigers"
"Minor League Trackman & Analytics Coordinator","Adam Daily","tigers"
"Minor League Video Coordinator","Alex Gonzalez","tigers"
"Minor League Video Coordinator","Austin Tripp","tigers"
"Assistant General Manager","Josh Boyd","rangers"
"Assistant General Manager","Mike Daly","rangers"
"Assistant General Manager","Shiraz Rehman","rangers"
"Special Assistant to the GM","Mike Anderson","rangers"
"Special Assistant to the GM","Scot Engler","rangers"
"Special Assistant to the GM","Scott Littlefield","rangers"
"Special Assistant to the GM","Greg Smith","rangers"
"Special Assistant - Baseball Operations ","Steve Buechele","rangers"
"Special Assistant to the GM","Bobby Jones","rangers"
"Special Assistant to the GM","Colby Lewis","rangers"
