Position Title,Name,Organization
 Matt Blake,Assistant Director - Player Development,indians

 Richard Conway,Assistant Director - International Scouting,indians

 Alex Eckelman,Assistant Director - Player Development,indians

 Chris Gale ,Assistant Director - International Scouting,indians

 Sam Giller,Assistant Director - Baseball Operations,indians

 Clint Longenecker,Assistant Director - Amateur Scouting,indians

 Kevin Tenenbaum,Assistant Director - Baseball Research and Development,indians

 Anna Bolton,Education and Language Coordinator,indians

 Dan Budreika,Coordinator - Professional Scouting,indians

 Rob Cerfolio,Assistant - Player Development,indians

 Will Clements ,Assistant - Amateur Scouting,indians

 Nate Freiman,Assistant - Baseball Operations,indians

 Zach Morton,Assistant - Baseball Operations,indians

 Steve Lubratich,Special Assistant to President of Baseball Operations/ GM,indians

 Dave Malpass,Special Assistant to President of Baseball Operations/ GM,indians

 Don Poplin,Special Assistant to President of Baseball Operations/ GM,indians

 Tom Wiedenbauer,Special Assistant to President of Baseball Operations/ GM,indians

 Tim Belcher,Special Assistant to Baseball Operations,indians

 Travis Hafner,Special Assistant to Baseball Operations,indians

 Johnny Goryl,Advisor - Player Development ,indians

 Minnie Mendoza,Advisor - Latin American Operations,indians

 Tim Tolman ,Advisor - Player Development ,indians

 Travis Fryman ,Special Assistant to Player Development - Infield,indians

 Dave Wallace ,Special Assistant to Player Development - Catching,indians

 Marlene Lehky,Executive Administrative Assistant,indians

 Nilda Taffanelli,Administrative Assistant - Player Development,indians

 Dr. Charles Maher,Sports & Performance Psychologist; Sr. Director - Personal & Org. Performance ,indians

 Ceci Clark,Performance Coach,indians

 Brian Miles,Performance Coach,indians

 Oscar Gutierrez Ramirez,Performance Coach,indians

 Kai Correa,Short-Season Defensive Coordinator,indians

 Kyle Burris,Analyst - Baseball Research & Development,indians

royals

Senior Vice President - Baseball Operations/General Manager,Dayton Moore,royals

Vice President/Assistant General Manager of Major League and International Operations,Rene Francisco,royals

Vice President/Assistant General Manager of Player Personnel,J.J. Picollo,royals

Vice President/Assistant General Manager,Scott Sharp,royals

Senior Advisor to the General Manager/Scouting & Player Development,Mike Arbuckle,royals

Special Assistant to the General Manager/Infield Coordinator,Rafael Belliard,royals

Special Assistant to Baseball Operations,Blaine Boyer ,royals

Senior Coordinator/Player Development,Chino Cadahia,royals

Director - Professional Scouting,Michael Cifuentes,royals

Special Assistant to the General Manager,Tim Conroy,royals

Coordinator - Pacific Rim,Phil Dale,royals

Director - Professional Development,Jeff Diskin ,royals

Coordinator - Sports Science,Austin Driggers,royals

Coordinator - Latin American Scouting,Orlando Estevez,royals

Special Assistant to the General Manager,Jim Fregosi - Jr.,royals

Assistant General Manager/Amateur Scouting,Lonnie Goldberg,royals

Assistant General Manager/International Operations,Albert Gonzalez,royals

Special Assistant to the General Manager,Pat Jones,royals

Baseball Operations Coordinator,Kevin Kuntz,royals

Senior Advisor to the General Manager/Baseball Operations,Gene Lamont,royals

Manager - Arizona Operations,Nick Leto,royals

Assistant to Baseball Operations/Administration,Kristin Lock,royals

Assistant General Manager/Research & Development,Dr. Daniel Mack,royals

Director - Behavioral Science,Ryan Maid,royals

Director - Leadership Development,Matt Marasco,royals

Special Advisor to Player Development,Mike Matheny ,royals

Special Assistant to the General Manager/Player Personnel,Luis Medina,royals

Coordinator of Scouting Operations,Jack Monahan,royals

Assistant Director of Scouting,Danny Ontiveros,royals

Supervisor Regional Scouting,Marshall "Buddy" Gouldsmith ,royals

Executive Assistant to the General Manager,Emily Penning,royals

Assistant to Player Development/Video Coordinator,Nick Relic,royals

Developer - Baseball Systems,Joseph San Diego,royals

Special Assistant to Baseball Operations,Reggie Sanders,royals

Analyst - Research & Development/Performance Science,Pravin Santhanam ,royals

Analyst - Research & Development/Player Development,Daniel Schoenfeld ,royals

Developer - Baseball Systems,Jennifer Segelke,royals

Sr. Director - Research & Development/Strategy,Guy Stevens,royals

Senior Advisor to the General Manager,Art Stewart,royals

Special Assistant to Baseball Operations,Mike Sweeney,royals

Sr. Developer - Baseball Systems,Paul Turner,royals

Senior Director - Baseball Operations/Administration,Kyle Vena,royals

Senior Director - Professional Scouting/Assistant to the General Manager,Gene Watson,royals

Senior Advisor to the General Manager,Donnie Williams,royals

Senior Director - Quantitative Analysis/Player Personnel,John Williams,royals

Assistant General Manager/Baseball Administration,Jin Wong,royals

Director - Baseball Operations/Player Development & Scouting,Alec Zumwalt,royals

tigers

Vice President - Assistant General Manager,David Chadd,tigers

Vice President - Player Personnel,Scott Bream,tigers

Vice President - Player Development,Dave Littlefield,tigers

Senior Advisor,John Westhoff,tigers

Special Assistant to the General Manager,Al Kaline,tigers

Special Assistant to the General Manager,Willie Horton,tigers

Special Assistant to the General Manager,Kirk Gibson,tigers

Special Assistant to the General Manager,Jim Leyland,tigers

Special Assistant to the General Manager,Dick Egan,tigers

Special Assistant to the General Manager,Alan Trammell,tigers

Special Assistant to the General Manager,Mike Russell,tigers

Senior Director - Baseball Analytics and Operations,Jay Sartori,tigers

Director - Baseball Operations and Professional Scouting,Sam Menzin,tigers

Director - Latin American Player Development,Rafael Martinez,tigers

Director - Latin American Player Development,Manny Crespo,tigers

Director - Latin American Operations,Miguel Garcia,tigers

Director - International Operations,Tom Moore,tigers

Director - Minor League Operations,Dan Lunetta,tigers

Director - Dominican Republic Operations,Ramon Perez,tigers

Director - Player Development,Dave Owen,tigers

